"","time","day","area","year","air_temp"
"570",9,72,"srimangal",1982,296.184663005453
"571",12,72,"srimangal",1982,303.515229738922
"572",15,72,"srimangal",1982,306.970937364568
"573",18,72,"srimangal",1982,304.527434795921
"574",21,72,"srimangal",1982,301.071771596916
"575",0,73,"srimangal",1982,298.628272829498
"576",3,73,"srimangal",1982,295.172628033063
"577",6,73,"srimangal",1982,289.988984960804
"578",9,73,"srimangal",1982,293.730934237646
"579",12,73,"srimangal",1982,301.668949618974
"580",15,73,"srimangal",1982,305.411015039441
"581",18,73,"srimangal",1982,302.765031218617
"582",21,73,"srimangal",1982,299.023013906211
"583",0,74,"srimangal",1982,296.377034201605
"584",3,74,"srimangal",1982,292.635036816702
"585",6,74,"srimangal",1982,288.548815787605
"586",9,74,"srimangal",1982,292.914423277254
"587",12,74,"srimangal",1982,302.175441222136
"588",15,74,"srimangal",1982,306.541184212681
"589",18,74,"srimangal",1982,303.454203088386
"590",21,74,"srimangal",1982,299.088516223913
"591",0,75,"srimangal",1982,296.001539901873
"592",3,75,"srimangal",1982,291.635876286152
"593",6,75,"srimangal",1982,288.718754569288
"594",9,75,"srimangal",1982,293.310043824661
"595",12,75,"srimangal",1982,303.049813669973
"596",15,75,"srimangal",1982,307.641245431013
"597",18,75,"srimangal",1982,304.394681624917
"598",21,75,"srimangal",1982,299.803308891408
"599",0,76,"srimangal",1982,296.556750135822
"600",3,76,"srimangal",1982,291.965401852918
"601",6,76,"srimangal",1982,290.868856599817
"602",9,76,"srimangal",1982,295.084009578983
"603",12,76,"srimangal",1982,304.025859590245
"604",15,76,"srimangal",1982,308.241143400459
